symbol,name,market,asset_type,currency,theme,sector,index_family,expense_ratio_pct,complexity,tags,aliases,is_leveraged,is_inverse,source_market_segment
2628.T,iFreeETF 中国科創板50（STAR50）,jp,etf,JPY,index,index,,0.743,beginner,"low_cost,balanced",iFreeETF 中国科創板50（STAR50） STAR50インデックス（配当込み）,false,false,
2629.T,iFreeETF 中国グレーターベイエリア・イノベーション100（GBA100）,jp,etf,JPY,index,index,,0.71,beginner,"low_cost,balanced",iFreeETF 中国グレーターベイエリア・イノベーション100（GBA100） GBAイノベーション100インデックス（配当込み）,false,false,
1678.T,NEXT FUNDS インド株式指数・Nifty 50連動型上場投信 先物型,jp,etf,JPY,index,index,,0.95,beginner,"low_cost,balanced",NEXT FUNDS インド株式指数・Nifty 50連動型上場投信 先物型 Nifty 50 指数（税引後配当込み）,false,false,
201A.T,iシェアーズ Nifty 50 インド株 ETF 先物型,jp,etf,JPY,index,index,,0.35,beginner,"low_cost,balanced",iシェアーズ Nifty 50 インド株 ETF 先物型 Nifty 50 指数（税引後配当込み、国内投信用、円建て）,false,false,
233A.T,iFreeETF インドNifty50,jp,etf,JPY,index,index,,0.35,beginner,"low_cost,balanced",iFreeETF インドNifty50 Nifty50指数（配当込み、円ベース）,false,false,
188A.T,グローバルＸ インド・トップ10+ ETF,jp,etf,JPY,index,index,,0.375,beginner,"low_cost,balanced",グローバルＸ インド・トップ10+ ETF Mirae Asset India Select Top 10+ Index（配当込み、円換算）,false,false,
1559.T,ＮＥＸＴ ＦＵＮＤＳ タイ株式ＳＥＴ５０指数連動型上場投信,jp,etf,JPY,index,index,,0.55,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ タイ株式ＳＥＴ５０指数連動型上場投信 タイ株式SET50指数（税引後配当込み）,false,false,
1560.T,ＮＥＸＴ ＦＵＮＤＳ ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,jp,etf,JPY,index,index,,0.55,leveraged,,ＮＥＸＴ ＦＵＮＤＳ ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信 FTSEブルサ・マレーシアKLCI指数（税引前配当込み）,true,false,
1679.T,Simple-X NYダウ・ジョーンズ・インデックス上場投信,jp,etf,JPY,index,index,,0.50,beginner,"low_cost,balanced",Simple-X NYダウ・ジョーンズ・インデックス上場投信 ダウ・ジョーンズ工業株30種平均,false,false,
1546.T,ＮＥＸＴ ＦＵＮＤＳ ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,jp,etf,JPY,index,index,,0.30,beginner,"low_cost,balanced",ＮＥＸＴ ＦＵＮＤＳ ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信 ダウ・ジョーンズ工業株３０種平均株価（税引前配当込み）,false,false,
